nombre,descripcion,costo,precioventa,stock,categoria,sku,imagenprincipal
6 boligrafos gel fresa,Producto,1663,2200,6,PAPELERIA,1002,0
Lapices con goma,Producto,1668,2200,10,PAPELERIA,1003,0
6 boligrafos fluorescentes Sanrio,Producto,1671,2200,6,PAPELERIA,1004,0
6 mini resaltadores pastel,Producto,1461,2000,6,PAPELERIA,1005,0
6 punctuadores macaron,Producto,1700,2200,6,PAPELERIA,1006,0
5 boligrafos gel metalicos,Producto,2095,2600,5,PAPELERIA,1007,0
6 plumas fluorescentes capybara,Producto,2685,3200,6,PAPELERIA,1008,0
12 boligrafos dorados,Producto,1484,2000,12,PAPELERIA,1009,0
6 mini resaltadores creativos,Producto,1799,2300,6,PAPELERIA,1010,0
Pluma estilografica + 6 recambios,Producto,12077,12600,1,PAPELERIA,1011,0
Pluma fuente metalica,Producto,6338,6800,1,PAPELERIA,1012,0
8 resaltadores doble punta,Producto,1574,2100,8,PAPELERIA,1013,0
18 boligrafos diamante gato,Producto,1854,2400,18,PAPELERIA,1014,0
16 boligrafos Axolotl,Producto,2041,2500,16,PAPELERIA,1015,0
15 paletas de plastico,Producto,931,1400,15,PAPELERIA,1016,0
Estuche Sanrio Kuromi,Producto,13168,13700,1,PAPELERIA,1017,0
8 reglas Spiderman,Producto,1740,2200,8,PAPELERIA,1018,0
10 reglas creativas,Producto,1977,2500,10,PAPELERIA,1019,0
5 cintas correctoras,Producto,3346,3800,5,PAPELERIA,1020,0
6 boligrafos caracol,Producto,1435,1900,6,PAPELERIA,1021,0
8 boligrafos cristal diamante,Producto,1892,2400,8,PAPELERIA,1022,0
4 gomas capibara,Producto,3572,4100,4,PAPELERIA,1023,0
6 boligrafos Heltty,Producto,1270,1800,6,PAPELERIA,1024,0
10 toppers capibara,Producto,1152,1700,10,PAPELERIA,1025,0
6 plumas click capibara,Producto,1179,1700,6,PAPELERIA,1026,0
6 boligrafos 10 colores Sanrio,Producto,4000,4500,6,PAPELERIA,1027,0
30 lapices HB Sanrio,Producto,833,1300,30,PAPELERIA,1028,0
12/6 marcadores lineales vibrantes Estilo A,Producto,1442,1900,6,PAPELERIA,1029,0
12/6 marcadores lineales vibrantes Estilo B,Producto,1442,1900,6,PAPELERIA,1030,0
Set de 4 gomas de borrar lindas,Producto,3416,3900,4,PAPELERIA,1031,0
Resaltador creativo en forma de flor,Producto,1780,2300,5,PAPELERIA,1032,0
6 marcadores resaltadores patita de gato,Producto,1648,2100,6,PAPELERIA,1033,0
Set de 6 boligrafos con cristales,Producto,1867,2400,6,PAPELERIA,1034,0
Unidad de almacenamiento USB,Producto,8379,8900,1,PAPELERIA,1035,0
Calculadora cientifica,Producto,6451,7000,1,PAPELERIA,1036,0
Calculadora profesional,Producto,10883,11400,1,PAPELERIA,1037,0
Juego de 4 reglas,Producto,1436,1900,4,PAPELERIA,1038,0
5 sacapuntas de capybara,Producto,2652,3200,5,PAPELERIA,1039,0
30 borradores de animales,Producto,785,1300,30,PAPELERIA,1040,0
Pluma esferografica redonda de oficina oro plateado,Producto,3408,3900,1,PAPELERIA,1041,0
Juego de 6 rotuladores resaltadores,Producto,441,900,6,PAPELERIA,1042,0
6 rotuladores forma paletas helado,Producto,853,1400,6,PAPELERIA,1043,0
Soporte para telefono de carpincho,Producto,11575,12100,1,PAPELERIA,1044,0
10 toppers de lapiz capibara,Producto,953,1500,10,PAPELERIA,1045,0
3 boligrafos de capibara 3 colores,Producto,3483,4000,3,PAPELERIA,1046,0
30 lapices de madera capibara 30 piezas,Producto,946,1400,30,PAPELERIA,1047,0
6 borradores mini capibara 6 paquetes,Producto,1730,2200,6,PAPELERIA,1048,0
Juego 4 boligrafos capibara 4 piezas,Producto,3540,4000,4,PAPELERIA,1049,0
Juego 5 boligrafos rosa dorado 5 piezas,Producto,2752,3300,5,PAPELERIA,1050,0
Paquete boligrafos cristal diamante 8 paquetes,Producto,1976,2500,8,PAPELERIA,1051,0
Tijeras ergonomicas,Producto,7239,7700,1,PAPELERIA,1052,0
Bolsa organizadora de conejito,Producto,9895,10400,1,PAPELERIA,1053,0
Estuche peluche capibara,Producto,6000,6500,1,PAPELERIA,1054,0
12 Animal Cartoon Wooden Pencils,Producto,981,1500,12,PAPELERIA,1055,0
10 sacapuntas de capibara,Producto,2705,3200,10,PAPELERIA,1056,0
Marvel 4 sacapuntas figuras de accion,Producto,2907,3400,4,PAPELERIA,1057,0
6 marcadores resaltadores mini marvel,Producto,2275,2800,6,PAPELERIA,1058,0
Juego de 6 rotuladores resaltadores,Producto,296,800,6,PAPELERIA,1059,0
Estuche 3D lindo unicornio,Producto,12000,12500,1,PAPELERIA,1060,0
4 gomas de borrar capibara,Producto,3000,3500,4,PAPELERIA,1061,0
3 paquetes de tijeras DIY Sanrio,Producto,2666,3200,3,PAPELERIA,1062,0



